538,123375599,270,26753968
Alabama,AL,9,945159
Alaska,AK,3,157252
Arizona,AZ,10,1019035
Arkansas,AR,6,535287
California,CA,55,6294684
Connecticut,CT,7,803905
Delaware,DE,3,188704
District of Columbia,DC,3,115053
Georgia,GA,15,1658669
Hawaii,HI,4,215832
Idaho,ID,4,306394
Indiana,IN,11,1256072
Iowa,IA,7,760984
Kansas,KS,6,606555
Louisiana,LA,9,978296
Maine,ME,4,375760
Mississippi,MS,6,576183
Montana,MT,3,228049
Nebraska,NE,5,396454
Nevada,NV,5,415782
New Hampshire,NH,4,341837
New Mexico,NM,5,387651
North Dakota,ND,3,158025
Oklahoma,OK,7,731880
Rhode Island,RI,4,220115
South Carolina,SC,8,813361
South Dakota,SD,3,197466
Tennessee,TN,11,1228306
Texas,TX,34,3705383
Utah,UT,5,471006
Vermont,VT,3,157111
West Virginia,WV,5,384823
Wyoming,WY,3,122895
